state,district,disease,no_of_cases,deaths,start_of_outbreak,date_of_reporting,status,action
Jharkhand,Godda,Measles,09,0.0,05-01-22,09-01-22,Under Surveillance,"Cases reported from Village Noonajore, SC Kaithia, PHC/Block Mahagama, District Godda. The cases presented with fever and maculopapular rash. Blood samples were sent to RIMS, Ranchi for further analysis, out of which four samples tested positive for Measles by IgM ELISA and two samples tested positive for Rubella by IgM ELISA. The most commonly affected age was 8 years. District RRT investigated the outbreak. Health education was given. Vitamin A was given to the affected cases."
Meghalaya,East Jaintia Hills,Acute Diarrheal Disease,160,0.0,02-01-22,02-01-22,Under Surveillance,"Cases reported from Village Rhymbai PHC, District East Jaintia Hilla. Cases presented with diarrhea, vomiting, nausea and fever after consuming food at the community feast on the occasion of New Year celebration. The most commonly affected age was 20 years. The food that constituted of pork was likely the cause of the outbreak. District RRT investigated the outbreak. Health education was given regarding importance of properly cooked food and intake of safe drinking water."
Jharkhand,Pakur,Fever with Rashes,07,0.0,10-01-22,16-01-22,Under Control,"Cases reported from Village Hathkati, CHC/HSC Hiranpur, District Pakur. The cases presented with fever, cough and maculopapular rashes all over the body. Six Blood samples were sent for further analysis out of which two samples tested positive for Measles by IgM ELISA and one sample tested positive for Rubella by IgM ELISA. Most affected age group was 0-5 years. District RRT investigated the outbreak. Health education was given. Vitamin A was given to the treated cases."
Maharashtra,Gadchiroli,Malaria,07,2.0,10-01-22,14-01-22,Under Surveillance,"Cases reported from Village Dodgir, SC Kishtapur, PHC Dechlipetha, Block Aheri, District Gadchiroli. The deceased were a 6 year and a 11-month-old female who presented with fever. 14 RDK Samples were sent for further analysis, out of which seven samples tested positive for Plasmodium falciparum. District RRT investigated the outbreak. Health education was given regarding the importance of vector control measures."
Jharkhand,West Singhbhum,Chickenpox,12,0.0,21-01-22,22-01-22,Under Surveillance,"Cases reported from Village/HSC Sosopi, CHC Jagannathpur, District West Singhbhum. Four blood samples were collected and sent to DPHL Sadar Hospital, Chaibasa. Of these, three were found positive for Chicken pox by IgM ELISA. District RRT investigated the outbreak. Health education was given."
Jharkhand,Godda,Measles,03,0.0,21-01-22,22-01-22,Under Surveillance,"Cases reported from Village Nawadih, SC Panjradih, PHC/Block Thakurgangti, District Godda. Cases presented with fever, cough, coryza and maculopapular rashes over the face. They were not vaccinated. Two Blood and two nasopharyngeal samples were collected and sent to RIMS, Ranchi for ELISA IgM. Result awaited. District RRT investigated the outbreak. Health education was given. Cases reported from DH Thodupuzha, Block"
Kerala,Idukki,Food Poisoning,16,0.0,17-01-22,20-01-22,Under Control,"Purapuzha, District Idukki. The cases presented with loose stools, vomiting, abdominal pain and headache. Three stool and three water samples collected and sent to Analatical lab, Kakkanadu. No enteropathogens were isolated. Water sam ple was found to be fit for drinking. District RRT investigated the outbreak. Cause of outbreak was due to intake of stale food. Symptomatic treatment was given to all the cases. Chlorine tablets were distributed. Health education was given regarding importance of safe drinking"
Kerala,Thrissur,Kala-Azar,01,0.0,23-01-22,24-01-22,Under Surveillance,"water. Case reported from SC Nattyanchira, PHC Thonnurkara, CHC Thiruvilwamala, District Thrissur. Case presented with weight loss, abdominal distension and pedal edema. Bone Marrow Biopsy shows Hypercellular marrow with Visceral Leishmaniasis done at GMCH, Thrissur. Bone Marrow aspirate also showed Visceral Leishmaniasis. District RRT investigated the outbreak. Health education was given."
Kerala,Ernakulam,Food Poisoning,02,0.0,20-12-21,28-12-21,Under Surveillance,"Cases reported from Village/PHC Vazhakulam, Block Malayidamthuruthu, District Ernakulam. Cases presented with fever, bodyache, headache, loose stools and vomiting. Two stool samples were collected and sent to Govt. Medical College, Ernakulam and both the samples showed presence of Shigella Sonnei. District RRT investigated the outbreak. Health education was given regarding importance of safe drinking water."
Tamil Nadu,Pudukottai DISEASE OUTBREAKS OF PREVIOUS WEEKS REPORTED LATE,Acute Diarrheal Disease,08,0.0,18-01-22,19-01-22,Under Control,"Cases reported from Village Anna Nagar, PHC Kodumbalur, HSC Mathiripatti, Block Viralimalai, District Pudukottai. Two water and one stool sample was collected and sent to DPHL, Pudukottai. Of these, both water samples were found fit for drinking. Symptomatic treatment was given to all the cases. Chlorine tablets were distributed. Health education was given regarding importance of safe drinking water."
Gujarat,Patan,Acute Diarrheal Disease,07,0.0,2022-01-11 00:00:00,Under 22 Surveillance,"Cases reported from Gulistan Park Society, PHC Sidhpura, Block Sidhpur, District Patan stools and vomiting. Food samples collected by F&D, Patan. No enteropathogens were isolated. District RRT investigated given to all the cases. Health education was given regarding importance of safe drinking water.",. Cases presented with loose the outbreak. Symptomatic treatment was Chlorine tablets were distributed.
Kerala,Ernakulam,Acute Diarrheal Disease,14,0.0,24-12-,Under 21 Surveillance,"Cases reported UPHC Chalikkavattom, Block Nettur, District One stool sample was collected and culture test done at RPH Lab. Result found to be negative. Two water samples were collected and sent to RPH Lab. Result, found to be sterile. District RRT investigated the outbreak. Source of outbreak was foun Symptomatic Chlorine tablets were distributed. Health education was given regarding importance of safe drinking water.","from Village Kochi Corporation, PHC Ernakulam. d to be intake of contaminated water. treatment was given to all the cases."
Jharkhand,Godda,Measles,01,0.0,27-01-22,28-01-22,Under Surveillance,"Case reported from Village Manikup, SC Bhagaiya, PHC/Block Thakurgangti. District Godda. Cases presented with fever, cough and maculo popular rashes all over the body. One blood sample was sent to RIMS, Ranchi for further investigation, the result is awaited. District RRT investigated the outbreak. Health education was given. Vitamin A was given to the affected case."
